gene_name,baseMean,log2FoldChange,lfcSE,padj,n_cells_trt,n_cells_ctrl,drug,concentration,Cell_Name_Vevo,plate
PSMB8,34.87343978881836,-0.3131808340549469,0.2622789144515991,0.5648465156555176,1802,3407,Lumateperone (tosylate),0.05000000074505806,SW1417,4
PSMB9,39.18391418457031,-0.1510666012763977,0.2282673567533493,0.7801333665847778,1802,3407,Lumateperone (tosylate),0.05000000074505806,SW1417,4
PSMB5,56.18204879760742,-0.25262099504470825,0.20461995899677277,0.5399974584579468,1514,3407,Medroxyprogesterone acetate,0.05000000074505806,SW1417,4
PSMB6,46.5195426940918,0.06291727721691132,0.22745096683502197,0.9184530973434448,1514,3407,Medroxyprogesterone acetate,0.05000000074505806,SW1417,4
PSMB9,36.77244567871094,0.006237747613340616,0.2581752836704254,0.9934503436088562,1514,3407,Medroxyprogesterone acetate,0.05000000074505806,SW1417,4
PSMB7,228.0773162841797,-0.48387786746025085,0.1272808313369751,0.0027575469575822353,1370,3407,Megestrol,0.05000000074505806,SW1417,4
PSMB7,175.0391845703125,-0.2993747591972351,0.1279655545949936,0.11824939399957657,967,3407,Mitoxantrone (dihydrochloride),0.05000000074505806,SW1417,4
PSMB9,29.64219093322754,-0.4832095503807068,0.28317996859550476,0.2940581440925598,967,3407,Mitoxantrone (dihydrochloride),0.05000000074505806,SW1417,4
PSMB5,65.15534973144531,-0.12896661460399628,0.2722800672054291,0.8485401272773743,1829,3407,Neratinib (maleate),0.05000000074505806,SW1417,4
PSMB6,54.73249816894531,-0.17618811130523682,0.24772505462169647,0.7580520510673523,1829,3407,Neratinib (maleate),0.05000000074505806,SW1417,4
PSMB10,25.365840911865234,-0.42095035314559937,0.3654349744319916,0.5661926865577698,1829,3407,Neratinib (maleate),0.05000000074505806,SW1417,4
PSMB5,64.37609100341797,-0.025686847046017647,0.1884041130542755,0.9647012948989868,1397,3407,Norepinephrine (hydrochloride),0.05000000074505806,SW1417,4
PSMB8,33.378910064697266,0.12297803908586502,0.3157529830932617,0.8893124461174011,1397,3407,Norepinephrine (hydrochloride),0.05000000074505806,SW1417,4
PSMB10,22.566761016845703,-0.4618092179298401,0.320602148771286,0.4659855365753174,1397,3407,Norepinephrine (hydrochloride),0.05000000074505806,SW1417,4
PSMB9,41.85346221923828,0.09565462172031403,0.2323213368654251,0.8833731412887573,1397,3407,Norepinephrine (hydrochloride),0.05000000074505806,SW1417,4
PSMB7,253.8789520263672,-0.14016176760196686,0.1294252723455429,0.5870211124420166,1886,3407,Olanzapine,0.05000000074505806,SW1417,4
PSMB5,69.19696044921875,-0.07092274725437164,0.2458329051733017,0.9033186435699463,1987,3407,Palmatine (chloride),0.05000000074505806,SW1417,4
PSMB6,53.73478317260742,-0.33204519748687744,0.22483544051647186,0.3780022859573364,1987,3407,Palmatine (chloride),0.05000000074505806,SW1417,4
PSMB10,23.808319091796875,-0.07617836445569992,0.34259507060050964,0.9272401928901672,1987,3407,Palmatine (chloride),0.05000000074505806,SW1417,4
PSMB9,55.328731536865234,0.12624302506446838,0.1974930763244629,0.7598355412483215,1987,3407,Palmatine (chloride),0.05000000074505806,SW1417,4
PSMB5,75.52735900878906,-0.20778965950012207,0.2228441685438156,0.6361923813819885,1594,3407,Pasireotide (acetate),0.05000000074505806,SW1417,4
PSMB6,51.78130340576172,-0.2208268791437149,0.23321111500263214,0.6293196082115173,1594,3407,Pasireotide (acetate),0.05000000074505806,SW1417,4
PSMB7,182.36361694335938,-0.13428349792957306,0.12637214362621307,0.5793220400810242,996,3407,Pentagastrin,0.05000000074505806,SW1417,4
PSMB9,34.19884490966797,-0.664491593837738,0.2786771059036255,0.11909445375204086,996,3407,Pentagastrin,0.05000000074505806,SW1417,4
