Cell_Name_Vevo,drug,concentration,plate,position,delta,se,z,p,fdr
A549,5-Fluorouracil,0.5,11,b1,0.18713115900754937,0.380411615195459,0.49191757436586064,0.6227776138924005,0.8777937506294833
A549,5-Fluorouracil,5.0,12,b1,-0.23427326977252957,0.3187010211791444,-0.7350879169001554,0.4622859526837293,0.7995792408339003
A549,8-Hydroxyquinoline,0.050000000745058,4,b1,-0.23561228811740878,0.4057411498595523,-0.5806960624993699,0.5614453159449261,0.8490781060912069
A549,8-Hydroxyquinoline,0.5,5,b1,-0.40194028802216036,0.4208161085349553,-0.9551447291822789,0.339504511898996,0.7217263852540885
A549,8-Hydroxyquinoline,5.0,6,b1,-0.0677980110049247,0.21724231552592646,-0.3120847374545382,0.7549761254266241,0.9287391001840986
A549,8-Hydroxyquinoline,5.0,14,b1,0.8668619692325592,0.44956132560952244,1.9282396412931069,0.05382532556674113,0.34852674998522376
A549,9-ING-41,0.050000000745058,1,b1,0.34020579233765597,0.24185425247625025,1.406656235540302,0.15952934899030524,0.5470788211435473
A549,9-ING-41,0.5,2,b1,-0.1472775936126709,0.2895831384594328,-0.5085848381787007,0.6110432587128356,0.8720533529749586
A549,9-ING-41,5.0,3,b1,-0.07425743341445923,0.3488651576018878,-0.2128542555665565,0.8314406434570953,0.9549768289238437
A549,APTO-253,0.050000000745058,1,b1,0.01700639724731451,0.25679516568178407,0.06622553505695092,0.9471982673608497,0.9874753814051123
A549,APTO-253,0.5,2,b1,-0.07119035720825195,0.20953219646183857,-0.3397585593544695,0.7340383581401184,0.9211241721604451
A549,APTO-253,5.0,3,b1,-1.6639567464590073,0.4351594537752599,-3.823786274256989,0.00013141784354435068,0.009995164900550333
A549,AT7519,0.050000000745058,1,b1,-0.7651560753583908,0.2587482336590038,-2.9571451156909774,0.003105019477849091,0.08037024984601458
A549,AT7519,0.5,2,b1,-0.2929797768592834,0.2206037179256264,-1.328081773118881,0.18415109411229846,0.578367166492176
A549,AT7519,5.0,3,b1,-0.3533470034599304,0.3970371234732622,-0.8899596097434601,0.37348757420641976,0.7446837263414712
A549,AZD-7648,0.050000000745058,1,b1,0.044216930866241455,0.2632419430957904,0.16797069018044541,0.8666063372846634,0.9655525095218015
A549,AZD-7648,0.5,2,b1,-0.46069127321243286,0.2745981909571297,-1.6776923096494691,0.09340718152028826,0.43980702337565014
A549,AZD-7648,5.0,3,b1,0.34219640493392944,0.3507567224634569,0.975594715706641,0.3292653442272585,0.7139524157640302
A549,AZD-8055,0.050000000745058,1,b1,0.2836935110390186,0.2786658586844143,1.0180418669812654,0.3086580599950538,0.698143505435403
A549,AZD-8055,0.5,2,b1,-0.05361472815275191,0.23955872273503712,-0.22380620309139085,0.8229081030286483,0.9524431911013851
A549,AZD-8055,5.0,3,b1,0.1930444836616516,0.365687844366229,0.5278941770575274,0.5975727864611248,0.866330703778023
A549,AZD1390,0.050000000745058,1,b1,-0.021554946899414007,0.2661097883417057,-0.08100020308811706,0.9354417909959505,0.9850632786268978
A549,AZD1390,0.5,2,b1,-0.0386127233505249,0.2156797101982485,-0.17902807507963014,0.8579156570869257,0.963208705751355
A549,AZD1390,5.0,3,b1,-0.7453970313072205,0.5583036321912037,-1.3351104816956347,0.1818401893894357,0.575439635519062
A549,AZD2858,0.050000000745058,1,b1,0.001308292150497492,0.32135069278924994,0.004071228660320654,0.9967516384819806,0.9990790967568721
A549,AZD2858,0.5,2,b1,-1.216848127543926,0.5560295459430142,-2.1884594738219847,0.028636150171544073,0.2622433330810451
A549,AZD2858,5.0,3,b1,-0.3220854848623276,0.43865873383100795,-0.7342507056668114,0.4627959551408949,0.7997970052213801
A549,Abemaciclib,0.050000000745058,13,b1,0.019578099250793513,0.3584930929256215,0.05461220770257765,0.9564474129340707,0.9900839160288345
A549,Abemaciclib,0.5,2,b1,-0.2372140362858771,0.2340781399872466,-1.0133967926214782,0.3108706708002231,0.7001015083021559
A549,Abemaciclib,5.0,3,b1,-1.4246251434087753,0.42540018939830637,-3.348905757244233,0.0008113138727086975,0.035092111950702456
